zipcode,culturalSpaces,numberOfReturns,avgAGI,casesReported,numberOfPets
98101,55,7890,136.1487959,5361,12
98102,20,15880,94.8156801,1752,29
98103,77,28150,85.42767318,4053,84
98104,87,6580,98.65607903,3513,9
98105,64,15400,108.5212338,2958,47
98106,8,12500,50.07752,670,27
98107,35,14480,77.42486188,3101,60
98108,36,11780,50.01273345,1569,25
98109,48,15300,108.8438562,2681,37
98112,16,12130,202.574526,2140,30
98115,27,25370,100.7467087,2401,82
98116,20,13660,98.37759883,1056,44
98117,11,17560,93.9535877,3184,85
98118,35,22620,56.95778073,1624,36
98119,18,12450,111.5524498,1654,28
98121,38,8760,128.0871005,2179,23
98122,88,19510,77.25699641,1712,58
98125,4,20000,64.3982,3184,54
98126,9,10950,70.93753425,1194,35
98133,4,24090,55.06720631,1058,47
98134,23,590,124.1677966,674,1
98136,7,8460,104.9786052,1396,20
98144,26,15060,76.60438247,2369,38
98146,4,13060,57.92258806,1041,7
98199,8,11030,130.7781505,680,42
